transaction_date,house_age,station_distance,conveniencestores,address,price_per_unit
2012.9166667,32,84.87882,10,"No. 42, Minquan Rd, Xindian District, New Taipei City, Taiwan 231",37.9
2012.9166667,19.5,306.5947,9,"No. 30, Lane 33, Ershizhang Rd, Xindian District, New Taipei City, Taiwan 231",42.2
2013.5833333,13.3,561.9845,5,"No. 8, Baoqing St, Xindian District, New Taipei City, Taiwan 231",47.3
2013.5,13.3,561.9845,5,"No. 8, Baoqing St, Xindian District, New Taipei City, Taiwan 231",54.8
2012.8333333,5,390.5684,5,"No. 6, Section 3, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",43.1
2012.6666667,7.1,2175.03,3,"No. 14, Ande St, Xindian District, New Taipei City, Taiwan 231",32.1
2012.6666667,34.5,623.4731,7,"No. 8, Alley 1, Lane 129, Ershizhang Rd, Xindian District, New Taipei City, Taiwan 231",40.3
2013.4166667,20.3,287.6025,6,"No. 68, Section 3, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",46.7
2013.5,31.7,5512.038,1,"No. 3, Lane 355, Section 3, Ankang Rd, Xindian District, New Taipei City, Taiwan 231",18.8
2013.4166667,17.9,1783.18,3,"No. 3, Anxing Rd, Xindian District, New Taipei City, Taiwan 231",22.1
2013.0833333,34.8,405.2134,1,"No. 155-1, Sanmin Rd, Xindian District, New Taipei City, Taiwan 231",41.4
2013.3333333,6.3,90.45606,9,"No. 108號, Section 2, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",58.1
2012.9166667,13,492.2313,5,"No. 110號, Huanhe Rd, Xindian District, New Taipei City, Taiwan 231",39.3
2012.6666667,20.4,2469.645,4,"No. 16, Lane 71, Ande St, Xindian District, New Taipei City, Taiwan 231",23.8
2013.5,13.2,1164.838,4,"No. 41, Ln 700, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",34.3
2013.5833333,35.7,579.2083,2,"No. 15號, Section 2, Baoyuan Rd, Xindian District, New Taipei City, Taiwan 231",50.5
2013.25,0,292.9978,6,"No. 50, Lane 85, Baoqiao Rd, Xindian District, New Taipei City, Taiwan 231",70.1
2012.75,17.7,350.8515,1,"No. 118, Zhongyang Rd, Xindian District, New Taipei City, Taiwan 231",37.4
2013.4166667,16.9,368.1363,8,"No. 263, Section 1, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",42.3
2012.6666667,1.5,23.38284,7,"No. 8, Lane 297, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",47.7
2013.4166667,4.5,2275.877,3,"No. 20, Lane 60, Ande St, Xindian District, New Taipei City, Taiwan 231",29.3
2013.4166667,10.5,279.1726,7,"No. 73, Baoqiao Rd, Xindian District, New Taipei City, Taiwan 231",51.6
2012.9166667,14.7,1360.139,1,"No. 4-1, Lane 27, Section 2, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",24.6
2013.0833333,10.1,279.1726,7,"No. 73, Baoqiao Rd, Xindian District, New Taipei City, Taiwan 231",47.9
2013,39.6,480.6977,4,"231, Taiwan, New Taipei City, Xindian District, 北101鄉道257號",38.8
2013.0833333,29.3,1487.868,2,"231, Taiwan, New Taipei City, Xindian District, 安和路二段217巷7號",27
2012.6666667,3.1,383.8624,5,"No. 181號, Section 3, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",56.2
2013.25,10.4,276.449,5,"No. 85, Section 1, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",33.6
2013.5,19.2,557.478,4,"Zhongzheng Public House, Xindian District, New Taipei City, Taiwan 231",47
2013.0833333,7.1,451.2438,5,"231, Taiwan, New Taipei City, Xindian District, Baoqiao Rd, 100號1樓",57.1
2013.5,25.9,4519.69,0,"Binshi Special Zone, Xindian District, New Taipei City, Taiwan 231",22.1
2012.75,29.6,769.4034,7,"No. 168, Minquan Rd, Xindian District, New Taipei City, Taiwan 231",25
2012.75,37.9,488.5727,1,"No. 51, Ziyou St, Xindian District, New Taipei City, Taiwan 231",34.2
2013.25,16.5,323.655,6,"No. 262, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",49.3
2012.75,15.4,205.367,7,"No. 255, Section 3, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",55.1
2013.5,13.9,4079.418,0,"No. 7號, Lane 39, Zhulin Rd, Yonghe District, New Taipei City, Taiwan 234",27.3
2012.9166667,14.7,1935.009,2,"No. 5, Lane 58, Section 2, Ankang Rd, Xindian District, New Taipei City, Taiwan 231",22.9
2013.1666667,12,1360.139,1,"No. 4-1, Lane 27, Section 2, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",25.3
2012.6666667,3.1,577.9615,6,"No. 121, Section 2, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",47.7
2013.1666667,16.2,289.3248,5,"No. 215, Section 3, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",46.2
2013,13.6,4082.015,0,"231, Taiwan, New Taipei City, Xindian District, Lane 14, Daguan Rd, 2號之6",15.9
2013.5,16.8,4066.587,0,"No. 8, Lane 14, Daguan Rd, Xindian District, New Taipei City, Taiwan 231",18.2
2013.4166667,36.1,519.4617,5,"No. 12, Lane 44, Huanhe Rd, Xindian District, New Taipei City, Taiwan 231",34.7
2012.75,34.4,512.7871,6,"231, Taiwan, New Taipei City, Xindian District, Alley 5, Lane 32, Baoqing St, 5號2樓",34.1
2013.5833333,2.7,533.4762,4,"231, Taiwan, New Taipei City, Xindian District, Lane 78, Baoqiao Rd, 23號1樓",53.9
2013.0833333,36.6,488.8193,8,"231, Taiwan, New Taipei City, Xindian District, 北101鄉道25號",38.3
2013.4166667,21.7,463.9623,9,"No. 1, Lane 54, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",42
2013.5833333,35.9,640.7391,3,"No. 13, Lane 328, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",61.5
2013.4166667,24.2,4605.749,0,"No. 82, Ruyi St, Xindian District, New Taipei City, Taiwan 231",13.4
2012.6666667,29.4,4510.359,1,"No. 3, Lane 4, Ruyi St, Xindian District, New Taipei City, Taiwan 231",13.2
2013.4166667,21.7,512.5487,4,"No. 282-7, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",44.2
2013.0833333,31.3,1758.406,1,"231, Taiwan, New Taipei City, Xindian District, 北宜路二段167巷4弄20號",20.7
2013.5833333,32.1,1438.579,3,"No. 313, Anmin St, Xindian District, New Taipei City, Taiwan 231",27
2013.0833333,13.3,492.2313,5,"No. 110號, Huanhe Rd, Xindian District, New Taipei City, Taiwan 231",38.9
2013.0833333,16.1,289.3248,5,"No. 215, Section 3, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",51.7
2012.8333333,31.7,1160.632,0,"No. 7, Alley 1, Lane 81, Yongye Rd, Xindian District, New Taipei City, Taiwan 231",13.7
2013.4166667,33.6,371.2495,8,"No. 192, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",41.9
2012.9166667,3.5,56.47425,7,"Xindian Station (Xindian Rd.), Xindian District, New Taipei City, Taiwan 231",53.5
2013.5,30.3,4510.359,1,"No. 3, Lane 4, Ruyi St, Xindian District, New Taipei City, Taiwan 231",22.6
2013.0833333,13.3,336.0532,5,"No. 6, Taiping Rd, Xindian District, New Taipei City, Taiwan 231",42.4
2013.4166667,11,1931.207,2,"231, Taiwan, New Taipei City, Xindian District, 110縣道68號",21.3
2013.5,5.3,259.6607,6,"No. 23, Lane 85, Baoqiao Rd, Xindian District, New Taipei City, Taiwan 231",63.2
2012.9166667,17.2,2175.877,3,"No. 14, Ande St, Xindian District, New Taipei City, Taiwan 231",27.7
2013.5833333,2.6,533.4762,4,"231, Taiwan, New Taipei City, Xindian District, Lane 78, Baoqiao Rd, 23號1樓",55
2013.3333333,17.5,995.7554,0,"No. 49號, Xinpo 1st St, Xindian District, New Taipei City, Taiwan 231",25.3
2013.4166667,40.1,123.7429,8,"No. 8, Lane 196, Section 2, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",44.3
2013,1,193.5845,6,"No. 28, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",50.7
2013.5,8.5,104.8101,5,"No. 3, Lane 271, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",56.8
2013.4166667,30.4,464.223,6,"No. 187, Jianguo Rd, Xindian District, New Taipei City, Taiwan 231",36.2
2012.8333333,12.5,561.9845,5,"No. 8, Baoqing St, Xindian District, New Taipei City, Taiwan 231",42
2013.5833333,6.6,90.45606,9,"No. 108號, Section 2, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",59
2013.0833333,35.5,640.7391,3,"No. 13, Lane 328, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",40.8
2013.5833333,32.5,424.5442,8,"No. 27, Lane 9, Jianxing St, Xindian District, New Taipei City, Taiwan 231",36.3
2013.1666667,13.8,4082.015,0,"231, Taiwan, New Taipei City, Xindian District, Lane 14, Daguan Rd, 2號之6",20
2012.9166667,6.8,379.5575,10,"No. 268號, Jianguo Rd, Xindian District, New Taipei City, Taiwan 231",54.4
2013.5,12.3,1360.139,1,"No. 4-1, Lane 27, Section 2, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",29.5
2013.5833333,35.9,616.4004,3,"Dafeng Elementary School, Xindian District, New Taipei City, Taiwan 231",36.8
2012.8333333,20.5,2185.128,3,"No. 15, Lane 15, Anguang Road, Xindian District, New Taipei City, Taiwan 231",25.6
2012.9166667,38.2,552.4371,2,"No. 12, Alley 2, Lane 50, Bairen St, Xindian District, New Taipei City, Taiwan 231",29.8
2013,18,1414.837,1,"No. 9, Lane 27, Section 2, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",26.5
2013.5,11.8,533.4762,4,"231, Taiwan, New Taipei City, Xindian District, Lane 78, Baoqiao Rd, 23號1樓",40.3
2013,30.8,377.7956,6,"No. 3, Lane 7, Lixing Rd, Xindian District, New Taipei City, Taiwan 231",36.8
2013.0833333,13.2,150.9347,7,"No. 22號, Lane 88, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",48.1
2012.9166667,25.3,2707.392,3,"No. 9, Lane 130, Ande St, Xindian District, New Taipei City, Taiwan 231",17.7
2013.0833333,15.1,383.2805,7,"No. 257, Section 1, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",43.7
2012.75,0,338.9679,9,"No. 9-1, Lane 5, Daxin St, Xindian District, New Taipei City, Taiwan 231",50.8
2012.8333333,1.8,1455.798,1,"No. 52, Section 2, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",27
2013.5833333,16.9,4066.587,0,"No. 8, Lane 14, Daguan Rd, Xindian District, New Taipei City, Taiwan 231",18.3
2012.9166667,8.9,1406.43,0,"No. 201, Xiyuan Rd, Xindian District, New Taipei City, Taiwan 231",48
2013.5,23,3947.945,0,"No. 11號, Lane 59, Liming Rd, Xindian District, New Taipei City, Taiwan 231",25.3
2012.8333333,0,274.0144,1,"No. 5, Zhongyang 7th St, Xindian District, New Taipei City, Taiwan 231",45.4
2013.25,9.1,1402.016,0,"No. 201, Xiyuan Rd, Xindian District, New Taipei City, Taiwan 231",43.2
2012.9166667,20.6,2469.645,4,"No. 16, Lane 71, Ande St, Xindian District, New Taipei City, Taiwan 231",21.8
2012.9166667,31.9,1146.329,0,"No. 13, Alley 7, Lane 81, Yongye Rd, Xindian District, New Taipei City, Taiwan 231",16.1
2012.9166667,40.9,167.5989,5,"No. 3, Lane 10, Xinsheng St, Xindian District, New Taipei City, Taiwan 231",41
2012.9166667,8,104.8101,5,"No. 3, Lane 271, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",51.8
2013.4166667,6.4,90.45606,9,"No. 108號, Section 2, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",59.5
2013.0833333,28.4,617.4424,3,"No. 47, Zhongyang Rd, Xindian District, New Taipei City, Taiwan 231",34.6
2013.4166667,16.4,289.3248,5,"No. 215, Section 3, Zhongxing Rd, Xindian District, New Taipei City, Taiwan 231",51
2013.4166667,6.4,90.45606,9,"No. 108號, Section 2, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",62.2
2013.5,17.5,964.7496,4,"No. 620, Zhongzheng Rd, Xindian District, New Taipei City, Taiwan 231",38.2
2012.8333333,12.7,170.1289,1,"No. 5, Zhongyang 4th St, Xindian District, New Taipei City, Taiwan 231",32.9
2013.0833333,1.1,193.5845,6,"No. 28, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",54.4
2012.75,0,208.3905,6,"No. 58之1號, Section 1, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",45.7
2012.6666667,32.7,392.4459,6,"231, Taiwan, New Taipei City, Xindian District, 北103鄉道160號",30.5
2012.8333333,0,292.9978,6,"No. 50, Lane 85, Baoqiao Rd, Xindian District, New Taipei City, Taiwan 231",71
2013.0833333,17.2,189.5181,8,"No. 218號, Section 2, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",47.1
2013.3333333,12.2,1360.139,1,"No. 4-1, Lane 27, Section 2, Beiyi Rd, Xindian District, New Taipei City, Taiwan 231",26.6
2013.4166667,31.4,592.5006,2,"No. 8, Lane 60, Sanmin Rd, Xindian District, New Taipei City, Taiwan 231",34.1
2013.5833333,4,2147.376,3,"231, Taiwan, New Taipei City, Xindian District, 110縣道118號",28.4
2013.0833333,8.1,104.8101,5,"No. 3, Lane 271, Section 1, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",51.6
2013.5833333,33.3,196.6172,7,"No. 22號, Mingde Rd, Xindian District, New Taipei City, Taiwan 231",39.4
2013.4166667,9.9,2102.427,3,"No. 29號, Anzhong Rd, Xindian District, New Taipei City, Taiwan 231",23.1
2013.3333333,14.8,393.2606,6,"No. 12, Huanhe Rd, Xindian District, New Taipei City, Taiwan 231",7.6
2012.6666667,30.6,143.8383,8,"No. 81, Section 3, Beixin Rd, Xindian District, New Taipei City, Taiwan 231",53.3
2013.0833333,20.6,737.9161,2,"No. 70, Section 2, Baoyuan Rd, Xindian District, New Taipei City, Taiwan 231",46.4
2013,30.9,6396.283,1,"No. 17, Lane 20, Jinxiu Rd, Xindian District, New Taipei City, Taiwan 231",12.2
2013,13.6,4197.349,0,"No. 40, Daguan Rd, Xindian District, New Taipei City, Taiwan 231",13
